question_type,left_number,right_number,correct_answer,user_answer,response_time_sec,at_risk
Which is bigger?,67,27,left,left,3.02,0
Choose the number closest to 10.,62,68,left,left,3.56,0
Which is bigger?,59,69,right,right,4.38,0
Which is smaller?,87,99,left,right,8.14,1
Choose the number closest to 10.,83,89,left,left,3.08,0
Which is smaller?,25,32,left,left,4.87,0
Which is smaller?,29,39,left,left,5.36,0
Choose the number closest to 10.,27,89,left,left,4.41,0
Which is smaller?,62,45,right,right,5.88,0
Choose the number closest to 10.,36,37,left,left,3.23,0
Choose the number closest to 10.,70,49,right,left,5.13,1
Which is smaller?,45,99,left,right,4.33,1
Which is smaller?,6,37,left,right,9.24,1
Which is bigger?,45,57,right,right,4.65,0
Choose the number closest to 10.,62,28,right,right,3.94,0
Choose the number closest to 10.,35,72,left,left,4.28,0
Which is bigger?,14,79,right,right,2.87,0
Which is bigger?,32,7,left,left,6.45,1
Choose the number closest to 10.,29,82,left,left,4.13,0
Which is bigger?,53,43,left,left,4.11,0
Which is bigger?,88,99,right,right,4.73,0
Choose the number closest to 10.,21,53,left,left,4.48,0
Which is smaller?,62,84,left,left,4.22,0
Which is smaller?,42,37,right,right,3.21,0
Which is bigger?,84,74,left,left,4.47,0
Choose the number closest to 10.,93,5,right,left,9.82,1
Which is bigger?,54,23,left,right,9.02,1
Which is bigger?,51,64,right,right,5.59,0
Choose the number closest to 10.,38,5,right,right,3.49,0
Choose the number closest to 10.,78,14,right,left,5.52,1
Which is smaller?,37,59,left,right,6.81,1
Choose the number closest to 10.,68,64,right,left,7.08,1
Which is bigger?,65,60,left,left,5.09,0
Which is bigger?,43,21,left,left,2.31,0
Choose the number closest to 10.,33,92,left,left,5.53,0
Choose the number closest to 10.,44,38,right,right,3.84,0
Which is bigger?,23,79,right,left,6.36,1
Which is smaller?,55,66,left,left,2.99,0
Which is smaller?,86,13,right,right,2.35,0
Which is bigger?,62,42,left,right,8.23,1
Which is bigger?,34,50,right,right,4.07,0
Which is smaller?,43,39,right,right,2.71,0
Choose the number closest to 10.,2,34,left,left,2.7,0
Choose the number closest to 10.,31,8,right,right,3.66,0
Which is smaller?,40,21,right,right,5.67,0
Choose the number closest to 10.,91,99,left,left,3.74,0
Which is bigger?,82,38,left,left,2.5,0
Which is bigger?,29,18,left,left,3.75,0
Which is smaller?,96,78,right,right,3.73,0
Choose the number closest to 10.,71,61,right,right,1.3,0
Choose the number closest to 10.,28,98,left,left,3.95,0
Choose the number closest to 10.,11,68,left,left,3.77,0
Choose the number closest to 10.,47,10,right,left,8.04,1
Which is bigger?,8,71,right,left,9.77,1
Which is bigger?,74,69,left,left,5.13,0
Which is smaller?,67,57,right,right,3.73,0
Which is bigger?,92,75,left,left,2.89,0
Choose the number closest to 10.,58,8,right,right,6.57,1
Choose the number closest to 10.,54,59,left,left,4.06,0
Choose the number closest to 10.,60,87,left,right,7.02,1
Choose the number closest to 10.,3,51,left,left,3.98,0
Which is bigger?,96,28,left,left,4.2,0
Which is bigger?,55,45,left,left,3.86,0
Choose the number closest to 10.,8,9,right,left,6.14,1
Which is smaller?,5,37,left,left,3.45,0
Which is bigger?,99,83,left,right,6.95,1
Choose the number closest to 10.,54,48,right,left,6.18,1
Which is smaller?,58,49,right,right,3.29,0
Choose the number closest to 10.,85,70,right,right,4.11,0
Which is smaller?,16,23,left,right,6.62,1
Which is smaller?,68,17,right,right,5.5,0
Which is bigger?,1,97,right,right,1.35,0
Which is smaller?,60,87,left,left,5.09,0
Which is smaller?,69,49,right,left,8.87,1
Which is bigger?,59,45,left,left,1.93,0
Which is bigger?,93,98,right,right,3.66,0
Choose the number closest to 10.,54,79,left,left,3.63,0
Which is bigger?,31,27,left,left,2.59,0
Choose the number closest to 10.,5,58,left,left,3.22,0
Choose the number closest to 10.,7,32,left,left,2.89,0
Which is smaller?,57,30,right,right,5.75,0
Which is bigger?,18,65,right,left,8.4,1
Which is bigger?,94,74,left,left,5.27,0
Choose the number closest to 10.,99,87,right,left,8.08,1
Which is bigger?,39,19,left,right,5.31,1
Choose the number closest to 10.,29,53,left,left,3.48,0
Which is bigger?,72,76,right,left,7.73,1
Which is bigger?,81,87,right,right,2.78,0
Which is smaller?,7,45,left,right,8.07,1
Choose the number closest to 10.,49,68,left,left,3.76,0
Which is smaller?,53,20,right,right,3.63,0
Which is bigger?,97,69,left,left,4.71,0
Which is bigger?,39,91,right,right,4.44,0
Which is smaller?,8,72,left,left,3.64,0
Which is smaller?,72,68,right,right,5.16,0
Which is bigger?,33,27,left,left,2.92,0
Which is bigger?,58,48,left,left,4.62,0
Choose the number closest to 10.,25,7,right,right,4.59,0
Choose the number closest to 10.,78,6,right,left,6.54,1
Which is bigger?,98,76,left,left,4.33,0
Choose the number closest to 10.,28,62,left,left,2.75,0
Which is smaller?,39,2,right,right,4.92,0
Which is bigger?,95,16,left,left,3.82,0
Which is smaller?,32,90,left,left,3.48,0
Which is bigger?,51,31,left,left,5.05,0
Which is smaller?,49,60,left,left,3.3,0
Which is smaller?,40,34,right,right,2.59,0
Which is smaller?,60,13,right,left,4.67,1
Choose the number closest to 10.,61,98,left,right,7.91,1
Which is bigger?,48,41,left,left,2.72,0
Choose the number closest to 10.,29,95,left,left,5.75,0
Which is smaller?,71,75,left,left,1.92,0
Which is smaller?,38,20,right,right,5.7,0
Which is bigger?,49,73,right,left,7.32,1
Which is smaller?,71,84,left,right,6.85,1
Which is smaller?,33,98,left,right,6.18,1
Choose the number closest to 10.,83,95,left,left,4.4,0
Which is bigger?,94,46,left,left,3.96,0
Choose the number closest to 10.,70,63,right,right,5.1,0
Choose the number closest to 10.,83,8,right,right,4.11,0
Which is bigger?,86,7,left,left,4.15,0
Which is smaller?,18,81,left,left,3.64,0
Choose the number closest to 10.,20,2,right,right,3.94,0
Which is smaller?,48,8,right,right,4.31,0
Choose the number closest to 10.,79,62,right,right,2.29,0
Which is bigger?,1,69,right,right,2.65,0
Which is bigger?,3,68,right,right,4.74,0
Choose the number closest to 10.,37,3,right,right,4.17,0
Choose the number closest to 10.,87,56,right,left,6.72,1
Which is bigger?,14,13,left,left,4.02,0
Which is bigger?,25,80,right,right,4.35,0
Which is smaller?,35,51,left,left,3.46,0
Which is smaller?,59,73,left,left,3.22,0
Choose the number closest to 10.,29,39,left,left,4.2,0
Which is bigger?,84,98,right,right,3.02,0
Which is smaller?,49,71,left,left,4.41,0
Choose the number closest to 10.,2,90,left,left,2.3,0
Which is smaller?,56,83,left,left,5.03,0
Choose the number closest to 10.,13,68,left,right,7.71,1
Which is bigger?,28,89,right,left,7.38,1
Which is smaller?,35,6,right,left,8.47,1
Choose the number closest to 10.,36,70,left,left,5.67,0
Which is bigger?,23,41,right,right,5.01,0
Which is bigger?,76,19,left,left,2.16,0
Choose the number closest to 10.,51,10,right,right,2.72,0
Choose the number closest to 10.,31,73,left,right,6.06,1
Which is smaller?,87,70,right,right,4.03,0
Choose the number closest to 10.,18,89,left,left,4.52,0
Choose the number closest to 10.,96,45,right,right,3.27,0
Which is smaller?,30,10,right,right,4.19,0
Choose the number closest to 10.,77,51,right,left,5.87,1
Which is smaller?,4,82,left,left,3.39,0
Which is smaller?,63,30,right,right,2.59,0
Which is smaller?,56,24,right,right,3.08,0
Choose the number closest to 10.,49,11,right,right,2.65,0
Which is smaller?,32,92,left,left,3.02,0
Which is smaller?,20,49,left,left,5.05,0
Choose the number closest to 10.,20,95,left,left,3.05,0
Which is smaller?,14,12,right,right,6.63,1
Which is smaller?,57,47,right,right,4.49,0
Which is bigger?,17,12,left,left,4.18,0
Which is smaller?,72,66,right,right,3.14,0
Which is bigger?,12,46,right,right,4.7,0
Choose the number closest to 10.,77,42,right,left,6.14,1
Which is bigger?,38,53,right,right,4.12,0
Which is bigger?,93,72,left,right,10.84,1
Which is bigger?,74,67,left,left,3.9,0
Which is smaller?,22,18,right,right,5.15,0
Which is smaller?,64,19,right,right,3.3,0
Which is smaller?,36,54,left,left,3.97,0
Which is bigger?,47,33,left,right,9.66,1
Choose the number closest to 10.,81,64,right,right,3.37,0
Which is bigger?,59,14,left,left,5.81,0
Which is bigger?,51,43,left,right,8.06,1
Which is smaller?,43,57,left,left,3.44,0
Choose the number closest to 10.,77,18,right,right,4.63,0
Choose the number closest to 10.,89,26,right,right,4.97,0
Which is bigger?,51,41,left,left,4.62,0
Choose the number closest to 10.,82,63,right,left,4.64,1
Which is bigger?,42,49,right,right,3.27,0
Which is smaller?,47,15,right,left,6.63,1
Which is bigger?,76,70,left,left,3.93,0
Choose the number closest to 10.,4,94,left,left,4.62,0
Choose the number closest to 10.,27,57,left,left,4.18,0
Choose the number closest to 10.,9,53,left,left,2.66,0
Which is bigger?,82,39,left,left,4.38,0
Choose the number closest to 10.,20,92,left,left,4.61,0
Which is smaller?,10,58,left,right,7.84,1
Which is smaller?,75,52,right,right,5.08,0
Choose the number closest to 10.,54,70,left,left,4.83,0
Which is smaller?,90,69,right,right,4.46,0
Which is bigger?,14,99,right,right,3.93,0
Choose the number closest to 10.,46,22,right,right,2.34,0
Which is bigger?,73,83,right,right,4.43,0
Which is smaller?,97,43,right,left,7.31,1
Which is smaller?,14,2,right,right,4.27,0
Which is bigger?,66,96,right,right,2.72,0
Choose the number closest to 10.,89,74,right,right,2.92,0
Which is smaller?,51,60,left,left,5.05,0
Choose the number closest to 10.,89,65,right,right,3.96,0
Which is bigger?,62,14,left,left,4.68,0
Which is bigger?,15,94,right,right,4.03,0
Which is smaller?,44,59,left,left,4.03,0
Choose the number closest to 10.,62,45,right,right,4.94,0
Which is smaller?,93,90,right,right,3.48,0
Which is bigger?,39,6,left,right,7.14,1
Which is bigger?,3,44,right,right,3.54,0
Choose the number closest to 10.,22,95,left,left,3.57,0
Which is bigger?,71,21,left,left,3.69,0
Which is smaller?,60,30,right,right,4.22,0
Choose the number closest to 10.,24,82,left,left,3.52,0
Which is smaller?,4,95,left,left,5.26,0
Which is bigger?,58,76,right,right,3.11,0
Which is bigger?,91,28,left,left,3.81,0
Choose the number closest to 10.,9,74,left,left,3.56,0
Choose the number closest to 10.,24,47,left,left,5.45,0
Which is smaller?,15,34,left,left,4.2,0
Which is smaller?,68,82,left,left,5.03,0
Which is smaller?,79,51,right,right,2.51,0
Which is smaller?,46,59,left,left,4.27,0
Choose the number closest to 10.,91,39,right,left,8.33,1
Choose the number closest to 10.,11,87,left,left,4.08,0
Which is bigger?,31,40,right,right,5.07,0
Which is smaller?,89,19,right,right,3.48,0
Which is smaller?,77,18,right,right,5.41,0
Which is smaller?,24,63,left,left,6.3,1
Choose the number closest to 10.,83,23,right,right,3.64,0
Which is smaller?,37,18,right,right,3.55,0
Which is smaller?,80,7,right,left,9.18,1
Which is bigger?,63,18,left,left,5.58,0
Which is smaller?,72,65,right,right,3.48,0
Which is smaller?,88,63,right,right,3.58,0
Which is smaller?,63,22,right,right,3.72,0
Which is bigger?,98,29,left,left,2.66,0
Which is smaller?,29,69,left,left,3.08,0
Which is smaller?,73,96,left,left,3.0,0
Which is smaller?,71,66,right,right,3.23,0
Which is bigger?,35,100,right,right,3.97,0
Which is smaller?,70,97,left,left,4.23,0
Choose the number closest to 10.,57,70,left,left,5.55,0
Which is smaller?,14,95,left,right,5.5,1
Which is bigger?,39,5,left,left,4.98,0
Which is smaller?,12,57,left,right,6.68,1
Which is bigger?,100,31,left,left,3.95,0
Choose the number closest to 10.,76,89,left,left,4.67,0
Choose the number closest to 10.,79,81,left,left,2.88,0
Choose the number closest to 10.,18,27,left,right,7.57,1
Which is bigger?,73,45,left,left,4.17,0
Choose the number closest to 10.,69,22,right,right,4.49,0
Choose the number closest to 10.,38,74,left,left,4.29,0
Choose the number closest to 10.,87,13,right,right,6.46,1
Which is smaller?,8,36,left,right,6.04,1
Which is bigger?,90,17,left,left,3.47,0
Choose the number closest to 10.,42,32,right,right,3.38,0
Choose the number closest to 10.,51,63,left,left,3.44,0
Choose the number closest to 10.,35,81,left,left,3.36,0
Which is smaller?,10,82,left,left,5.19,0
Which is bigger?,52,66,right,right,5.42,0
Choose the number closest to 10.,48,59,left,right,6.14,1
Which is smaller?,75,1,right,left,5.75,1
Choose the number closest to 10.,12,94,left,right,7.71,1
Choose the number closest to 10.,86,90,left,left,3.45,0
Which is bigger?,69,51,left,left,4.63,0
Which is smaller?,28,64,left,left,4.2,0
Which is smaller?,44,71,left,left,2.48,0
Choose the number closest to 10.,63,44,right,left,9.32,1
Which is bigger?,6,13,right,right,5.8,0
Which is smaller?,3,16,left,right,6.08,1
Which is bigger?,57,59,right,right,3.61,0
Which is smaller?,26,89,left,right,7.43,1
Choose the number closest to 10.,39,21,right,left,7.5,1
Which is smaller?,12,84,left,left,4.66,0
Which is bigger?,48,86,right,left,10.02,1
Which is bigger?,7,51,right,right,3.82,0
Choose the number closest to 10.,90,97,left,left,3.2,0
Choose the number closest to 10.,12,91,left,left,2.62,0
Which is bigger?,62,10,left,left,3.27,0
Which is bigger?,67,88,right,right,3.97,0
Which is bigger?,90,44,left,right,9.69,1
Which is smaller?,89,17,right,right,3.48,0
Which is bigger?,50,12,left,left,4.22,0
Which is bigger?,14,41,right,right,3.98,0
Which is smaller?,18,49,left,left,5.19,0
Which is bigger?,83,87,right,right,6.53,1
Choose the number closest to 10.,73,2,right,right,3.47,0
Which is bigger?,57,45,left,left,3.51,0
Choose the number closest to 10.,96,20,right,left,8.57,1
Choose the number closest to 10.,88,57,right,left,8.02,1
Which is bigger?,13,18,right,right,5.85,0
Choose the number closest to 10.,94,50,right,right,4.58,0
Which is smaller?,41,18,right,right,3.64,0
Choose the number closest to 10.,11,32,left,left,4.59,0
Choose the number closest to 10.,93,78,right,right,5.11,0
Choose the number closest to 10.,4,85,left,right,8.23,1
Which is bigger?,67,78,right,right,4.51,0
Choose the number closest to 10.,51,38,right,right,5.07,0
Which is bigger?,64,50,left,left,5.17,0
Which is smaller?,82,77,right,right,5.38,0
Which is bigger?,47,41,left,left,4.65,0
Choose the number closest to 10.,54,47,right,right,3.83,0
Which is bigger?,98,61,left,right,7.22,1
Which is bigger?,3,76,right,right,5.21,0
Which is smaller?,28,6,right,left,5.77,1
Which is smaller?,65,37,right,right,4.37,0
Choose the number closest to 10.,99,54,right,right,3.61,0
Which is smaller?,11,82,left,left,4.03,0
Choose the number closest to 10.,20,36,left,left,5.28,0
Which is bigger?,66,27,left,right,7.29,1
Which is bigger?,69,42,left,left,4.05,0
Choose the number closest to 10.,98,84,right,right,2.64,0
Which is bigger?,40,90,right,right,4.75,0
Which is bigger?,8,32,right,right,4.65,0
Which is smaller?,15,59,left,left,6.16,1
Which is bigger?,40,86,right,right,3.69,0
Choose the number closest to 10.,23,16,right,right,4.22,0
Which is bigger?,90,2,left,left,4.25,0
Which is smaller?,67,93,left,left,5.58,0
Which is smaller?,17,96,left,left,3.9,0
Which is smaller?,94,16,right,right,4.28,0
Which is bigger?,43,55,right,right,4.61,0
Which is bigger?,34,92,right,left,7.28,1
Choose the number closest to 10.,10,64,left,left,3.55,0
Which is smaller?,8,64,left,right,7.29,1
Which is bigger?,48,21,left,left,5.07,0
Which is bigger?,74,87,right,right,2.97,0
Which is bigger?,95,66,left,left,4.13,0
Which is bigger?,32,6,left,left,3.3,0
Which is smaller?,20,23,left,right,8.79,1
Which is bigger?,71,92,right,right,2.48,0
Which is smaller?,29,42,left,left,3.44,0
Choose the number closest to 10.,41,35,right,left,7.57,1
Choose the number closest to 10.,48,16,right,right,5.57,0
Which is bigger?,23,29,right,left,6.9,1
Which is bigger?,52,9,left,right,6.17,1
Which is smaller?,100,40,right,right,5.88,0
Choose the number closest to 10.,59,2,right,right,2.55,0
Which is smaller?,73,39,right,right,1.8,0
Which is bigger?,60,48,left,left,4.44,0
Which is smaller?,99,100,left,left,3.5,0
Choose the number closest to 10.,98,32,right,right,2.98,0
Which is smaller?,4,30,left,left,4.71,0
Choose the number closest to 10.,89,2,right,left,7.37,1
Which is bigger?,98,85,left,left,3.44,0
Choose the number closest to 10.,94,40,right,right,2.72,0
Choose the number closest to 10.,31,54,left,left,4.87,0
Which is bigger?,19,92,right,right,4.65,0
Which is bigger?,30,67,right,right,3.9,0
Which is smaller?,59,96,left,left,5.85,0
Which is bigger?,65,18,left,left,2.93,0
Which is smaller?,10,76,left,left,2.47,0
Which is smaller?,85,17,right,right,3.31,0
Which is smaller?,41,51,left,left,3.95,0
Choose the number closest to 10.,42,41,right,right,4.24,0
Which is bigger?,10,26,right,right,3.76,0
Choose the number closest to 10.,14,20,left,left,4.35,0
Which is smaller?,60,41,right,right,2.75,0
Choose the number closest to 10.,46,99,left,left,5.44,0
Which is smaller?,60,34,right,left,6.88,1
Which is bigger?,21,88,right,right,5.12,0
Choose the number closest to 10.,90,78,right,right,4.34,0
Which is smaller?,19,12,right,right,4.46,0
Which is smaller?,51,66,left,left,4.57,0
Which is smaller?,34,23,right,right,4.45,0
Which is smaller?,58,72,left,left,4.64,0
Which is bigger?,13,60,right,right,5.33,0
Which is bigger?,16,2,left,left,4.2,0
Which is bigger?,17,26,right,left,8.06,1
Which is smaller?,88,81,right,left,6.87,1
Which is bigger?,75,76,right,right,5.44,0
Which is bigger?,3,9,right,right,3.32,0
Choose the number closest to 10.,57,17,right,right,5.8,0
Which is smaller?,16,6,right,left,6.94,1
Which is bigger?,22,74,right,right,2.57,0
